abn,company_name,entity_type,status,gst_status,state,postcode,lead_score,classification,positive_signals,negative_signals,source
11057034787,SIMPLY THE BEST NUTRITION PTY. LTD.,Australian Private Company,ACT,NON,QLD,4300,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11163301415,KDF NUTRITION PTY LTD,Australian Private Company,ACT,ACT,QLD,4034,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11163466368,HICARE HEALTH FOOD PTY LTD,Australian Private Company,ACT,ACT,QLD,4556,40,Good potential,health food (+40),,Australian ABN Bulk Extract
11245019668,TASTE FINE FOOD DISTRIBUTOR,Individual/Sole Trader,ACT,CAN,NSW,2101,40,Good potential,food distributor (+40),,Australian ABN Bulk Extract
11276057594,IGNITE NUTRITION CO,Individual/Sole Trader,ACT,NON,WA,6058,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11276274237,SAP SAP THAI GROCERY,Individual/Sole Trader,ACT,NON,NSW,2261,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
11301251645,CATERING FOR NUTRITION,Individual/Sole Trader,ACT,ACT,QLD,4005,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11327780517,NEW BLOOM NUTRITION,Individual/Sole Trader,ACT,NON,NSW,2230,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11334700504,LET'S GLOW - NUTRITION AND TRAINING,Individual/Sole Trader,ACT,NON,NSW,2101,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11347813324,APRIMA FOOD DISTRIBUTORS,Individual/Sole Trader,ACT,ACT,NSW,2168,40,Good potential,food distributor (+40),,Australian ABN Bulk Extract
11378665063,DISCOVERIES WHOLESALE DISTRIBUTORS LIMITED,Other Incorporated Entity,ACT,CAN,NSW,2200,30,Possible,wholesale (+15); distributor (+15),,Australian ABN Bulk Extract
11426294693,NUTRITIOUS NUTRITION,Individual/Sole Trader,ACT,NON,VIC,3033,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11453620503,DPL GROCERY SUPPLIES,Individual/Sole Trader,ACT,CAN,VIC,3074,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
11544569527,The Trustee for South Pacific Division of the Seventh-day Adventist Church Health Food Department - Australia Trust,Fixed Trust,ACT,NON,NSW,2076,40,Good potential,health food (+40),,Australian ABN Bulk Extract
11584342731,AUSTRALIAN DIRECT WHOLESALERS & IMPORTERS,Individual/Sole Trader,ACT,NON,QLD,4504,25,Possible,wholesale (+15); importer (+10),,Australian ABN Bulk Extract
11604705736,HIVE NUTRITION,Individual/Sole Trader,ACT,CAN,ACT,2603,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11610792044,RASTO ORGANIC FOOD PTY. LTD.,Australian Private Company,ACT,CAN,NSW,2154,40,Good potential,organic food (+40),,Australian ABN Bulk Extract
11610948886,A.P NUTRITION PTY LTD,Australian Private Company,ACT,ACT,NSW,2224,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11614156848,THE GROWTH SUPPLEMENTS PTY LTD,Australian Private Company,ACT,ACT,NSW,2167,25,Possible,supplement (+25),,Australian ABN Bulk Extract
11643996098,ASSEMBLE NUTRITION PTY LTD,Australian Private Company,ACT,ACT,NSW,2750,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11649297996,NUTRITION MILK DYNASTY PTY LTD,Australian Private Company,ACT,ACT,VIC,3150,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11659755469,SYNERGIZE NUTRITION PTY LTD,Australian Private Company,ACT,NON,NSW,2070,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11678938273,BSS NUTRITION AND DIETETICS PTY LTD,Australian Private Company,ACT,ACT,NSW,2570,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11680276733,MESSINA GROCERY PTY LTD,Australian Private Company,ACT,ACT,NSW,2113,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
11680941306,BOSS NUTRITION PTY LTD,Australian Private Company,ACT,NON,NSW,2010,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11688263792,GROCERY WHOLESALE PTY LTD,Australian Private Company,ACT,ACT,NSW,2190,55,Good potential,grocery (+20); grocer (+20); wholesale (+15),,Australian ABN Bulk Extract
11693297942,BITEWISE NUTRITION PTY LTD,Australian Private Company,ACT,ACT,QLD,4306,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11693806174,HIGH COUNTRY NUTRITION AND DIETETICS PTY LTD,Australian Private Company,ACT,ACT,VIC,3678,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11695957183,LOCAL GROCERY PTY LTD,Australian Private Company,ACT,ACT,NSW,2765,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
11699180599,TRUE BLUE GROCERY PTY LTD,Australian Private Company,ACT,ACT,VIC,3108,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
11803249048,MURRUMBIDGEE NUTRITION,Individual/Sole Trader,ACT,ACT,NSW,2705,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11833104563,FIT IT HEALTH AND NUTRITION,Individual/Sole Trader,ACT,CAN,VIC,3429,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11886850936,ASIAN & MIDDLE EAST GROCERY,Individual/Sole Trader,ACT,ACT,NSW,2464,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
11904753621,HD FERTILITY & NUTRITION,Individual/Sole Trader,ACT,NON,VIC,3033,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
11913204572,AILM - NUTRITION SKIN BROWS,Individual/Sole Trader,ACT,NON,WA,6025,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12006849627,UNIQUE NUTRITION PTY. LTD.,Australian Private Company,ACT,CAN,VIC,3144,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12069287252,VITA INN HEALTH FOODS PTY LTD,Australian Private Company,ACT,NON,QLD,4343,40,Good potential,health food (+40),,Australian ABN Bulk Extract
12109576786,AUTONOMY HEALTH & SUPPLEMENTS,Individual/Sole Trader,ACT,ACT,QLD,4211,25,Possible,supplement (+25),,Australian ABN Bulk Extract
12139585532,Powerhouse Health & Nutrition Pty Ltd,Australian Private Company,ACT,ACT,NSW,2200,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12142644059,ZHANG TAN HUNG ASIAN GROCERY PTY LTD,Australian Private Company,ACT,ACT,VIC,3152,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
12169058840,CITY JUN GROCERY,Individual/Sole Trader,ACT,CAN,NSW,2127,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
12169412475,The Nutrition Space Australia,Individual/Sole Trader,ACT,NON,QLD,4051,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12188579570,Rhian Hunter Yoga Ayuveda Nutrition,Individual/Sole Trader,ACT,NON,QLD,4655,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12245515479,BAYSIDE NUTRITION,Individual/Sole Trader,ACT,ACT,QLD,4655,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12271809629,EPT HEALTH & NUTRITION COACHING,Individual/Sole Trader,ACT,NON,VIC,3644,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12306594917,SHAPE NUTRITION,Individual/Sole Trader,ACT,CAN,SA,5073,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12322734902,NUTRITIONAL SYNERGY,Individual/Sole Trader,ACT,CAN,NSW,2009,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12359249027,THE EVERYDAY NUTRITIONIST,Individual/Sole Trader,ACT,NON,WA,6569,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12418361682,ENVISION NUTRITION,Individual/Sole Trader,ACT,CAN,NSW,2768,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12428430986,HOLBROOK HEALTH AND NUTRITION,Individual/Sole Trader,ACT,NON,VIC,3280,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12524978472,The Trustee for Restore Nutrition Trust,Fixed Unit Trust,ACT,NON,QLD,4060,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12542438486,NUTRITIONAL DIVA,Individual/Sole Trader,ACT,ACT,NSW,2456,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12546840167,Pabico Fast Food & Asian Groceries,Individual/Sole Trader,ACT,CAN,NSW,2770,30,Possible,grocer (+20); food (+10),,Australian ABN Bulk Extract
12571581261,CAILIE FORD NUTRITION,Individual/Sole Trader,ACT,ACT,NSW,2016,25,Possible,nutrition (+25),,Australian ABN Bulk Extract
12606773282,HONG VINH ASIAN GROCERY PTY LTD,Australian Private Company,ACT,ACT,VIC,3048,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
12611178413,ZHANG TAN HUNG ASIAN GROCERY SPRINGVALE PTY LTD,Australian Private Company,ACT,ACT,VIC,3171,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
12618029404,LIU'S ASIAN GROCERY PTY LTD,Australian Private Company,ACT,ACT,NSW,2220,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
12643590649,SUPER INDIAN GROCERY PTY LTD,Australian Private Company,ACT,ACT,SA,5008,40,Good potential,grocery (+20); grocer (+20),,Australian ABN Bulk Extract
